Dataset,Model,Accuracy,Precision,Recall,F1,ROC_AUC
BEED,Gradient Boosting,0.886375,0.88829040020761,0.8863750000000001,0.8864115133936061,0.9808753749999999
BEED,MLP,0.9335,0.9339800718943007,0.9335,0.9336274941215991,0.9920493958333334
CHB-MIT,Gradient Boosting,0.9597701149425287,0.9347826086956522,0.9885057471264368,0.9608938547486033,0.9626106486986392
CHB-MIT,MLP,0.9770114942528736,0.9560439560439561,1.0,0.9775280898876404,0.9982824679614216
